Title,PublishedAt,ChannelTitle,ViewCount,LikeCount,CommentCount,VideoID
Learn Python - Full Course for Beginners [Tutorial],2018-07-11T18:00:42Z,freeCodeCamp.org,42300300,1008741,43837,rfscVS0vtbw
Python for Beginners - Learn Python in 1 Hour,2020-09-16T13:00:20Z,Programming with Mosh,14254282,349309,18382,kqtD5dpn9C8
Python 101: Learn the 5 Must-Know Concepts,2023-05-20T13:00:40Z,Tech With Tim,670859,19653,439,mMv6OSuitWw
Harvard CS50’s Introduction to Programming with Python – Full University Course,2023-05-01T13:55:40Z,freeCodeCamp.org,2493821,82038,1296,nLRL_NcnK-4
Python Tutorial - Python Full Course for Beginners,2019-02-18T15:00:08Z,Programming with Mosh,36213396,1013895,54991,_uQrJ0TkZlc
Python Full Course for free 🐍,2021-02-15T15:00:12Z,Bro Code,13663935,687060,19797,XKHEtdqhLK8
👩‍💻 Python for Beginners Tutorial,2021-03-25T10:00:08Z,Kevin Stratvert,2272120,51366,1968,b093aqAZiPU
Python Tutorial for Beginners (with mini-projects),2023-09-19T14:33:56Z,freeCodeCamp.org,194411,6399,220,qwAFL1597eM
you need to learn Python RIGHT NOW!! // EP 1,2021-08-14T17:22:45Z,NetworkChuck,2045681,91746,4435,mRMmlo_Uqcs
Python for Beginners – Full Course [Programming Tutorial],2022-08-09T12:54:23Z,freeCodeCamp.org,1739333,41735,929,eWRfhZUzrAc
ALL Python Programmers Should Know This!! #python #programming #coding,2022-11-14T00:38:55Z,b001,1054295,72237,705,g9fIWtSexLs
99% Of Python Programmers Never Learned THIS Feature,2022-09-29T23:51:42Z,Indently,1430000,112715,939,NHquaDS6XQ0
What is Python? Why Python is So Popular?,2018-10-23T03:06:02Z,Programming with Mosh,1840895,61284,857,Y8Tko2YC5hA
Python As Fast as Possible - Learn Python in ~75 Minutes,2020-10-04T15:00:06Z,Tech With Tim,1495385,45699,1221,VchuKL44s6E
How to learn Python programming | Guido van Rossum and Lex Fridman,2022-11-29T01:00:04Z,Lex Clips,347100,9654,249,F2Mx-u7auUs
Python Tutorial for Absolute Beginners #1 - What Are Variables?,2017-12-26T14:57:53Z,CS Dojo,8729941,193275,8313,Z1Yd7upQsXY
How to learn Python FAST with ChatGPT and Bard?,2023-07-10T14:10:00Z,Sundas Khalid,589635,10179,222,xr68cbOxvBs
Introduction to Python Programming,2022-11-21T14:45:00Z,Neso Academy,103664,1715,82,4EaYeZyzIB0
Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE],2021-03-05T14:10:17Z,TechWorld with Nana,4832666,131123,3362,t8pPdKYpowI
